Grandes Regiões, Unidades da Federação e Municípios das Capitais;Classes de percentual de pessoas em ordem crescente de rendimento domiciliar per capita (%)_Até 10%;Classes de percentual de pessoas em ordem crescente de rendimento domiciliar per capita (%)_Mais de 10% a 20%;Classes de percentual de pessoas em ordem crescente de rendimento domiciliar per capita (%)_Mais de 20% a 30%;Classes de percentual de pessoas em ordem crescente de rendimento domiciliar per capita (%)_Mais de 30% a 40%;Classes de percentual de pessoas em ordem crescente de rendimento domiciliar per capita (%)_Mais de 40% a 50%;Classes de percentual de pessoas em ordem crescente de rendimento domiciliar per capita (%)_Mais de 50% a 60%;Classes de percentual de pessoas em ordem crescente de rendimento domiciliar per capita (%)_Mais de 60% a 70%;Classes de percentual de pessoas em ordem crescente de rendimento domiciliar per capita (%)_Mais de 70% a 80%;Classes de percentual de pessoas em ordem crescente de rendimento domiciliar per capita (%)_Mais de 80% a 90%;Classes de percentual de pessoas em ordem crescente de rendimento domiciliar per capita (%)_Mais de 90%
Rondônia;1.2966631383683496;3.049719255965987;4.205197797070051;5.279966703047317;6.689781410149357;8.37235613357106;9.526484083391026;11.795711945670702;15.494776347202631;34.28934318556294
Acre;0.747653136719243;2.119012331791566;3.2052995665385215;4.4356784971225425;5.638289966480342;6.953660266844313;8.92339729206429;11.660389547034791;16.06252739245093;40.25409200295453
Amazonas;1.1896764438991883;2.4726844297574493;3.5939308535670262;4.588305830177668;5.682158535801971;6.703346006958515;8.459422296642531;11.09458105712648;16.033636365461255;40.18225818060858
Roraima;0.805675051667551;2.3453597999686298;3.147460548302602;4.057846397466032;5.114602437168968;6.423046345942355;8.001943357636176;10.56606087243705;15.44464245801941;44.09336273139156
Pará;1.2103484760818954;2.6499940128099144;3.635025250395228;4.62163269781149;5.687035377373128;6.955739802482965;8.565125846487279;10.700132737138402;15.137451965341457;40.83751383407816
Amapá;1.0961229007274833;2.3856415579549757;3.330034516655626;4.19483734149585;5.163852644555772;6.416301268196283;8.182308230901944;11.137256445721647;16.618883715035224;41.47476137875449
Tocantins;1.2880065444511049;2.7373548507587575;3.760438039420753;4.78276324952491;5.815114342123287;6.856159690016455;8.002627943895146;10.45915700351906;14.754614131147646;41.54376420514262
Maranhão;1.0237920945053067;2.4619600168921756;3.7397168127505243;4.817926902506459;6.023925308688366;7.499259305689355;9.407117458598696;11.898337627156376;15.627643051484883;37.50032142172866
Piauí;1.1506231099056934;2.3020574064107158;3.4612501852600595;4.4564613667522295;5.534215957241726;6.8858091358178255;8.815745748606316;11.148548254050942;15.29859288834898;40.94669594760531
Ceará;1.0753497208409324;2.4490834683133182;3.5219982925652427;4.587385823096166;5.7106263154874055;6.8266516050583546;8.770506952168407;11.010805943130158;14.246086749290173;41.80150513004918
Rio Grande do Norte;1.078899455842929;2.432282527360504;3.4100367982788464;4.538750679402306;5.3078204461353335;6.638696823352892;8.515582792268722;10.41177437724283;15.123424911888277;42.54273118822663
Paraíba;0.9637813591894977;2.3790102079811417;3.317890726313189;4.20864303961983;5.209239849031204;6.297222282925686;7.762465439460666;9.18403060026606;13.88728737269091;46.79042912252196
Pernambuco;0.9382686439278194;2.3638033838638908;3.4534980496153627;4.552264494619431;5.837194520037785;7.1553684951544385;8.802799674063255;10.69522084225258;15.215357146704482;40.98622474976065
Alagoas;1.1043737080771183;2.481852500542338;3.6713449939809997;4.836550630458138;5.943614149392402;7.195023335677984;9.05168874364049;11.12377591890708;15.721726543744802;38.870049475578504
Sergipe;1.091134792707118;2.3703006142130447;3.300261355979213;4.404496338279901;5.487745983808729;6.738142257612563;8.464619541122179;10.749958905449793;14.488226871354046;42.90511333947388
Bahia;0.9433760672273527;2.487644606767647;3.5479488797463676;4.61622041604898;5.857452567474202;7.102225535689417;8.916131613251089;11.37069974624746;14.996740919014474;40.16155964853323
Minas Gerais;1.4914721442800078;2.94763773120176;4.05410317127092;5.147969556071145;6.348720993422641;7.712720260250715;8.7717548409724;11.491715631926475;15.398526395881493;36.63537927472422
Espírito Santo;1.3359551622713493;2.855375536316685;3.7911998704505194;4.795804313951895;6.008534383998416;7.18678884953921;8.451119417423476;10.78209122253324;15.241446390703151;39.55168485281115
Rio de Janeiro;0.9576395076651208;2.232264094855804;3.1616809626349163;4.212427952543376;5.325261898612509;6.441147414897213;7.9403228962091825;10.722584079042019;16.29484204983931;42.711829143701294
São Paulo;1.2979877452626811;2.7170459046014397;3.63664574953849;4.682316094227128;5.75169950118678;6.950683828727978;8.54087830229202;11.0975898850003;15.93602571873398;39.38912727042926
Paraná;1.4471326178982906;3.049212342438492;4.140665991130503;5.034510310175895;6.338810387285304;7.224945907759336;8.817395520752655;11.188545164893645;15.732271878633416;37.026509879033064
Santa Catarina;1.8344852109879912;3.6179478993592693;4.722365841557435;5.821164493580431;6.681781388157576;7.9991834449342205;9.486637248823167;11.622781283475213;15.507563811321743;32.706089377801504
Rio Grande do Sul;1.4394186506179827;2.9936948031588533;4.082363567082872;5.192714646200423;6.135667323721878;7.361844834401314;8.769828093952302;11.826218880251592;15.619644102617103;36.57860509799615
Mato Grosso do Sul;1.5087699200801885;3.0207525173600063;3.987827421500047;4.93688683529368;6.013423917607125;7.063228635498979;8.543877231908544;11.2249830376455;15.736070409739314;37.9641800733668
Mato Grosso;1.3822838771889514;3.21160825555058;4.165344004336773;5.4884623271341955;6.555747107225228;7.772867691331986;9.417880334234715;11.657681965757861;15.574347076464468;34.77377736077509
Goiás;1.6217271233054993;3.1721407639275347;4.269971831901892;5.318018886671186;6.363810741471812;7.783034696372606;8.912128998151015;11.063152795802868;14.940948404594417;36.555065757801145
Distrito Federal;1.0188333464304986;2.087516829848874;2.9171380824399082;3.8135719213036636;4.839919315942564;6.316108318437277;8.67866962276621;12.112377081601426;18.773096449521994;39.442769031707876
