,Grandes Regiões e Unidades da Federação,Número mensal médio de Mamógrafo em uso (total)_2010,Número mensal médio de Mamógrafo em uso (total)_2011.0,Número mensal médio de Mamógrafo em uso (total)_2012.0,Número mensal médio de Mamógrafo em uso (total)_2013.0,Número mensal médio de Mamógrafo em uso (total)_2014.0,Número mensal médio de Mamógrafo em uso (total)_2015.0,Número mensal médio de Mamógrafo em uso (total)_2016.0,Número mensal médio de Mamógrafo em uso (total)_2017.0,Número mensal médio de Mamógrafo em uso (total)_2018.0,Número mensal médio de Mamógrafo em uso (total)_2019.0,Número mensal médio de Mamógrafo em uso (total)_2020.0,Número mensal médio de Mamógrafo em uso (total)_2021.0,Número mensal médio de Mamógrafo em uso (total)_2022.0,Número mensal médio de Mamógrafo em uso (total)_2023.0,Número mensal médio de Mamógrafo em uso por 10.000 mil habitantes_2010,Número mensal médio de Mamógrafo em uso por 10.000 mil habitantes_2011.0,Número mensal médio de Mamógrafo em uso por 10.000 mil habitantes_2012.0,Número mensal médio de Mamógrafo em uso por 10.000 mil habitantes_2013.0,Número mensal médio de Mamógrafo em uso por 10.000 mil habitantes_2014.0,Número mensal médio de Mamógrafo em uso por 10.000 mil habitantes_2015.0,Número mensal médio de Mamógrafo em uso por 10.000 mil habitantes_2016.0,Número mensal médio de Mamógrafo em uso por 10.000 mil habitantes_2017.0,Número mensal médio de Mamógrafo em uso por 10.000 mil habitantes_2018.0,Número mensal médio de Mamógrafo em uso por 10.000 mil habitantes_2019.0,Número mensal médio de Mamógrafo em uso por 10.000 mil habitantes_2020.0,Número mensal médio de Mamógrafo em uso por 10.000 mil habitantes_2021.0,Número mensal médio de Mamógrafo em uso por 10.000 mil habitantes_2022.0,Número mensal médio de Mamógrafo em uso por 10.000 mil habitantes_2023.0
0,Brasil,4014.25,4269.666666666667,4244.583333333333,4385.833333333333,4607.833333333333,4584.916666666667,4636.5,4681.083333333333,4803.166666666667,4870.416666666667,4753.333333333333,4880.583333333333,5121.666666666667,5006.333333333333,0.2061239451048378,0.2176639947982231,0.2147301067469376,0.220142846782322,0.22946105180461,0.2265234272151421,0.2274221916529213,0.2281101221474253,0.2325661666359317,0.23426716437815,0.2272529273942021,0.232294085284506,0.2428907432589373,0.236487852657137
1,Rondônia,29.41666666666667,34.5,33.75,33.83333333333334,30.33333333333333,31.91666666666667,30.0,30.25,32.33333333333334,36.0,35.41666666666666,38.5,39.0,37.25,0.1852612256756734,0.2151747468422326,0.2083499241606276,0.2068085026616153,0.1836299360382628,0.1914725045483469,0.1785625004464063,0.1788281641648459,0.1899846367062853,0.2102116130237772,0.2055818023051863,0.2225919883072718,0.2248294754901282,0.214049090506851
2,Acre,7.166666666666667,9.333333333333334,11.0,12.75,13.0,12.5,11.75,12.0,11.66666666666667,11.0,12.58333333333333,12.66666666666667,12.16666666666667,13.33333333333333,0.09367934562144918,0.1199097764581993,0.1389448527879285,0.1586140490994454,0.1594063218094824,0.1512077873220133,0.1405008286559511,0.1420965877872719,0.1370124704835992,0.1282172326291876,0.1456982729640741,0.1458711926659035,0.1394354887385787,0.1521059448326949
3,Amazonas,29.41666666666667,33.08333333333334,35.25,36.08333333333334,38.66666666666666,51.08333333333334,59.75,61.0,61.5,58.25,60.91666666666666,66.91666666666667,70.66666666666667,69.41666666666667,0.08283594221965407,0.09159524775245567,0.09596670322929998,0.09660118221999245,0.101806280376778,0.1323707625160551,0.1526350558401621,0.1537944882072403,0.1530428273554971,0.1430051457302223,0.1478120022213455,0.1608568691171558,0.1682623413085715,0.1636965084812085
4,Roraima,2,3.0,3.5,4.583333333333333,4.583333333333333,4.166666666666667,5.166666666666667,5.666666666666667,5.0,5.0,5.0,5.333333333333333,6.416666666666667,7.166666666666667,0.04255400635331315,0.06230788402425853,0.0708679911556747,0.09039712938163103,0.08804468443824609,0.07797197998927105,0.0942421683238088,0.1004704974294328,0.085106817566728,0.08088978766430739,0.07800616248683645,0.08142841729621011,0.09528702928207534,0.1030774615137525
5,Pará,78,89.66666666666667,83.0,81.25,84.91666666666667,88.66666666666667,95.66666666666667,102.6666666666667,117.5833333333333,125.8333333333333,115.8333333333333,125.3333333333333,139.0,139.75,0.1012907690475668,0.115125776622868,0.1053935598693831,0.1020589914787965,0.1055231150506408,0.1090421926466455,0.1165553705019069,0.1240558563910073,0.1409962211413911,0.1497226264402623,0.13683485659077,0.1471022097060151,0.1621928472954343,0.1621959768434051
6,Amapá,5,4.833333333333333,3.333333333333333,3.333333333333333,4.583333333333333,6.75,9.0,9.75,9.0,11.16666666666667,9.75,10.0,15.16666666666667,17.0,0.07278158101972818,0.06907031357922365,0.04682779173245972,0.04605126518943418,0.06228345176248579,0.09035539789840037,0.1188985240729878,0.1273580839074244,0.1164620385515228,0.1432601038999249,0.1241195468554472,0.1264428712141424,0.190666078325625,0.2127329425721165
7,Tocantins,20,21.75,21.0,22.16666666666667,25.75,27.66666666666667,26.0,26.41666666666667,29.0,28.91666666666667,26.83333333333333,29.58333333333333,30.16666666666667,30.0,0.143214360390345,0.1541633678068613,0.1472630117389658,0.1538233427963603,0.1768288914373614,0.1880274964161506,0.1750351416707508,0.1762830458418222,0.1918367508940254,0.18959908590292,0.1744819403605555,0.1910433701815633,0.193676515277974,0.1914252953213744
8,Maranhão,61.08333333333334,69.33333333333333,71.75,75.0,75.08333333333333,75.33333333333333,75.0,81.5,82.75,85.75,90.33333333333333,98.41666666666667,103.75,107.6666666666667,0.09225532992897323,0.1039892475118073,0.1069076815292432,0.1110685924084765,0.1105352319581229,0.1102748439464576,0.1092676763776979,0.1182809353627342,0.119632512054331,0.1234394624805214,0.1295846920599108,0.1408335687316946,0.1482548016336465,0.1537384966240835
9,Piauí,47.5,51.66666666666666,48.91666666666666,52.75,55.33333333333334,59.08333333333334,63.08333333333334,62.66666666666666,65.66666666666667,67.08333333333333,65.58333333333333,71.5,76.5,82.33333333333333,0.1492914001553259,0.1616178804847244,0.152307518584112,0.1635341987986824,0.1707834216211606,0.1814703469774463,0.1928508729291586,0.1907227967915556,0.1988557015210241,0.2020443575963257,0.1966007996531432,0.2135695203138964,0.2278791186171878,0.2446115395444264
10,Ceará,100.6666666666667,111.75,114.5,125.75,137.75,146.0,156.4166666666667,165.75,169.8333333333333,174.25,174.8333333333333,178.9166666666667,300.4166666666667,177.5833333333333,0.1179080549863824,0.1300658919045941,0.1324323002033212,0.1445211597366233,0.1573012383233093,0.1656038904664109,0.1762807183943605,0.1857312668586842,0.18919502215457,0.192847627354415,0.1923585642855537,0.1959759841335214,0.32786002623244,0.19309521241307
11,Rio Grande do Norte,40.16666666666666,44.5,44.0,45.0,46.5,46.91666666666666,49.58333333333334,52.0,54.83333333333334,56.58333333333334,49.41666666666666,53.66666666666666,60.5,61.0,0.1254107462126735,0.1378875686455444,0.135312795516226,0.1373835216708767,0.1409565035511945,0.1412296724595416,0.1483516905460529,0.1547979782193291,0.1624445404957452,0.1667927315117504,0.14501821115708,0.1569484388309544,0.1764900647762296,0.1775176513658092
12,Paraíba,56.33333333333334,61.25,63.66666666666666,69.66666666666667,120.5833333333333,139.0,134.0,131.5833333333333,123.5833333333333,115.0,108.0833333333333,114.75,118.9166666666667,126.25,0.1477560360745051,0.1596895166504674,0.1650084612192104,0.1794790675882101,0.3087134861497092,0.3535061580009761,0.3386014496690424,0.3304858388806397,0.3083098805770097,0.2848078537623117,0.2658919105307547,0.2807145095519992,0.2896149870133961,0.3061000836956427
13,Pernambuco,110.6666666666667,121.8333333333333,133.5833333333333,158.8333333333333,171.9166666666667,175.4166666666667,166.1666666666667,164.6666666666667,168.8333333333333,167.5833333333333,143.5,148.0833333333333,162.9166666666667,166.4166666666667,0.1239313626305581,0.1356373800884846,0.1477817126003206,0.1745945988528787,0.1877868323254196,0.1903990333192339,0.1793936473128811,0.1769813283623792,0.1806033821718397,0.1783464525728804,0.1520294286596344,0.1563680900263452,0.1716172131696117,0.1749087855500574
14,Alagoas,40.83333333333334,45.16666666666666,49.16666666666666,50.16666666666666,56.66666666666666,58.41666666666666,59.25,56.91666666666666,57.91666666666666,61.33333333333334,64.25,69.58333333333333,71.83333333333333,72.91666666666667,0.1303902393592251,0.1437435945255225,0.1559699315350159,0.1586212994994628,0.178625034845016,0.1836321848908381,0.1858586796473924,0.1782458623733162,0.1809823440395717,0.1911467475134302,0.1998554819347753,0.2162437767112859,0.223197108525477,0.2265472816863527
15,Sergipe,30.91666666666667,35.83333333333334,35.25,37.08333333333334,37.41666666666666,38.0,38.16666666666666,36.5,37.41666666666666,38.5,38.91666666666666,39.08333333333334,39.41666666666666,42.41666666666666,0.1480876889874331,0.170025581337233,0.1657445314884047,0.1728323138168754,0.1728898542996744,0.1741320434120349,0.1736180608879298,0.1649551999754149,0.1680086403588335,0.1717753089724713,0.172639321781064,0.1725581476806345,0.1733675992743924,0.185875452199553
16,Bahia,234.8333333333333,249.5833333333333,259.4166666666667,269.0,281.5,277.75,280.4166666666667,289.75,310.6666666666667,313.3333333333333,313.4166666666667,322.9166666666667,325.6666666666667,320.4166666666667,0.1655210238836852,0.1753004755506817,0.1815009307213804,0.1874429918967489,0.1953557247312228,0.1919429303047791,0.193030357015181,0.1987489687003471,0.2123105686287535,0.2132498482863446,0.2125067517932214,0.2183600019925702,0.2198765868951259,0.2160771856255093
17,Minas Gerais,468.4166666666667,506.3333333333333,505.25,517.1666666666666,534.9166666666666,540.25,549.6666666666666,546.9166666666666,550.5,556.5,547.25,547.3333333333334,551.3333333333334,549.4166666666666,0.2355473138160866,0.2534008724230036,0.2514418404199041,0.2558366581792876,0.2629756891818922,0.2639201965901364,0.2669818250301176,0.2642747462596003,0.2646477099103428,0.2660547041937823,0.2601986334258415,0.2591906486287023,0.2603281207742423,0.2585806455418555
18,Espírito Santo,71.75,74.16666666666667,76.0,79.25,84.08333333333333,80.08333333333333,80.66666666666667,85.75,88.83333333333333,88.75,84.58333333333333,84.58333333333333,83.58333333333333,88.08333333333333,0.1970673088543235,0.2017557007773443,0.2046169113723387,0.2111215362082093,0.2216265906924564,0.2088749192647359,0.2083941508411976,0.2196155204529279,0.2256302980258746,0.2235511304886211,0.211380809421478,0.2100123458292127,0.206332086947642,0.2160987827811836
19,Rio de Janeiro,492.5,521.8333333333334,516.0833333333334,529.6666666666666,540.5833333333334,460.8333333333333,458.25,454.5,471.1666666666667,468.4166666666667,413.5833333333333,432.6666666666667,442.1666666666667,445.4166666666667,0.2971316031164007,0.3135519035454659,0.3086790069685196,0.3152663306074402,0.3201392153038922,0.2715279538863241,0.2688672495164937,0.2657832876170484,0.2747496837948943,0.2724315885556206,0.2401440070497726,0.2512515881065086,0.2568979968734555,0.258755376665627
20,São Paulo,1116.583333333333,1140.0,1117.5,1143.75,1183.583333333333,1175.833333333333,1179.5,1188.833333333333,1202.25,1242.75,1206.5,1220.5,1231.833333333333,1222.833333333333,0.262893383189173,0.2663114228024157,0.258906661379951,0.2628083905671606,0.2697736507328696,0.2659177638441141,0.2648769562886775,0.2653108934101267,0.2667980880724178,0.2743005754694745,0.265029751539166,0.2673491352991435,0.2693298480134243,0.2666997015158881
21,Paraná,202.3333333333333,210.4166666666667,205.9166666666667,213.8333333333333,222.1666666666667,228.0833333333333,232.75,235.1666666666667,246.0,253.9166666666667,261.25,261.0833333333333,257.4166666666667,251.9166666666667,0.1897136567704272,0.1960047691958066,0.1903643732805767,0.1960506925051394,0.2019010873093004,0.205445980362697,0.2078929842839156,0.2083851527099861,0.2162831304433452,0.2214088251537632,0.2259755157582999,0.2244855061610058,0.2202647820843286,0.2143267180324787
22,Santa Catarina,136.75,146.6666666666667,147.25,150.0,155.6666666666667,166.0833333333333,168.75,169.25,177.1666666666667,180.5833333333333,187.1666666666667,188.1666666666667,203.9166666666667,210.4166666666667,0.2148219781656041,0.2272247823741736,0.2246774067298856,0.2252332741019874,0.2298756200611813,0.2410528394597281,0.2406769590355693,0.2371956730464011,0.2438254474036397,0.24390881902704,0.248166649540295,0.2452754175721653,0.2615383516974513,0.265435901886649
23,Rio Grande do Sul,288.1666666666667,318.1666666666667,316.0833333333333,318.4166666666667,327.8333333333333,327.5833333333333,325.5,328.75,334.5,333.5,332.0833333333333,337.3333333333333,338.0,337.25,0.2648722148587032,0.2916717850557706,0.2888011018816584,0.289864149374423,0.2972912909340031,0.2959008986264146,0.2929852051022451,0.2950792715316315,0.2995290543630459,0.2979182526607628,0.2959669061317451,0.3004450238006194,0.3012341867648393,0.3005179334132457
24,Mato Grosso do Sul,52.16666666666666,52.75,52.16666666666666,54.58333333333334,58.33333333333334,59.16666666666666,61.25,68.75,69.75,68.41666666666667,68.91666666666667,68.83333333333333,68.08333333333333,59.08333333333334,0.2094833164274273,0.2093152633086811,0.2043836038640908,0.2111168526299939,0.2227163555764612,0.2230230950152516,0.2281399129008372,0.2531708964311926,0.253990934981598,0.2463664992454764,0.2455288804904355,0.2430604476620233,0.2385225684390441,0.2052923855809115
25,Mato Grosso,64.41666666666667,65.66666666666667,63.41666666666666,63.91666666666666,68.83333333333333,69.25,76.58333333333333,82.58333333333333,85.25,83.08333333333333,81.5,86.5,95.41666666666667,93.25,0.2082024324508352,0.2095765638507449,0.1996206525586016,0.1982844235202243,0.210236854978821,0.2081134493279062,0.2265718092599676,0.2405378572120677,0.2442239950862992,0.2339060441884882,0.2256375784298227,0.2359089407852195,0.2564297578201222,0.2467983047801589
26,Goiás,130.5833333333333,149.3333333333333,147.1666666666667,150.1666666666667,159.25,163.6666666666667,166.5833333333333,177.25,178.4166666666667,182.75,190.75,196.5,206.3333333333333,210.6666666666667,0.2111319090188815,0.2383993949763926,0.2317141213513358,0.233113911306806,0.2436632633373314,0.2468417453330194,0.2478733114669145,0.2604498810673435,0.2590085872294951,0.2620170856646044,0.2701730382179769,0.2754433235762384,0.2865241711142717,0.2895975505912487
27,Distrito Federal,96.58333333333333,97.25,86.66666666666667,87.83333333333333,88.0,75.41666666666667,77.58333333333333,54.25,61.75,56.16666666666666,65.08333333333333,71.83333333333333,71.08333333333333,67.08333333333333,0.3652956638175496,0.363820424972185,0.3206376842263894,0.3213070600489362,0.3183347043430259,0.2698443537767416,0.2747703557316919,0.1903299075119443,0.2147517591386003,0.1936976642705633,0.2227800185092828,0.2444953100580605,0.2407624554631795,0.2260568198450143
