,Grandes Regiões e Unidades da Federação,Número mensal médio de Ressonância Magnética em uso (total)_2010,Número mensal médio de Ressonância Magnética em uso (total)_2011.0,Número mensal médio de Ressonância Magnética em uso (total)_2012.0,Número mensal médio de Ressonância Magnética em uso (total)_2013.0,Número mensal médio de Ressonância Magnética em uso (total)_2014.0,Número mensal médio de Ressonância Magnética em uso (total)_2015.0,Número mensal médio de Ressonância Magnética em uso (total)_2016.0,Número mensal médio de Ressonância Magnética em uso (total)_2017.0,Número mensal médio de Ressonância Magnética em uso (total)_2018.0,Número mensal médio de Ressonância Magnética em uso (total)_2019.0,Número mensal médio de Ressonância Magnética em uso (total)_2020.0,Número mensal médio de Ressonância Magnética em uso (total)_2021.0,Número mensal médio de Ressonância Magnética em uso (total)_2022.0,Número mensal médio de Ressonância Magnética em uso (total)_2023.0,Número mensal médio de Ressonância Magnética em uso por 10.000 mil habitantes_2010,Número mensal médio de Ressonância Magnética em uso por 10.000 mil habitantes_2011.0,Número mensal médio de Ressonância Magnética em uso por 10.000 mil habitantes_2012.0,Número mensal médio de Ressonância Magnética em uso por 10.000 mil habitantes_2013.0,Número mensal médio de Ressonância Magnética em uso por 10.000 mil habitantes_2014.0,Número mensal médio de Ressonância Magnética em uso por 10.000 mil habitantes_2015.0,Número mensal médio de Ressonância Magnética em uso por 10.000 mil habitantes_2016.0,Número mensal médio de Ressonância Magnética em uso por 10.000 mil habitantes_2017.0,Número mensal médio de Ressonância Magnética em uso por 10.000 mil habitantes_2018.0,Número mensal médio de Ressonância Magnética em uso por 10.000 mil habitantes_2019.0,Número mensal médio de Ressonância Magnética em uso por 10.000 mil habitantes_2020.0,Número mensal médio de Ressonância Magnética em uso por 10.000 mil habitantes_2021.0,Número mensal médio de Ressonância Magnética em uso por 10.000 mil habitantes_2022.0,Número mensal médio de Ressonância Magnética em uso por 10.000 mil habitantes_2023.0
0,Brasil,1042,1183.75,1344.166666666667,1515.083333333333,1711.666666666667,1864.0,2023.416666666667,2193.166666666667,2435.916666666667,2622.916666666667,2730.75,2949.25,3127.0,3268.666666666667,0.05350467728697541,0.06034657362223356,0.06800032633411414,0.07604820629582741,0.08523763887703349,0.09209320452840468,0.09924940212668648,0.1068734480030609,0.1179454807060432,0.1261623577517713,0.1305548944211186,0.1403711983250628,0.148295350635346,0.1544044132868956
1,Rondônia,7.833333333333333,9.083333333333334,10.75,14.16666666666667,16.08333333333333,18.58333333333333,18.0,20.5,24.75,26.58333333333333,26.33333333333333,28.75,29.58333333333333,30.66666666666667,0.04933301760202068,0.05665228841981487,0.06636330917708878,0.08659469323269603,0.09736422432798,0.1114839908989069,0.1071375002678437,0.1211893343927055,0.145426384282904,0.1552257049874652,0.1528561165375032,0.1662212899697159,0.1705437260662298,0.1762193854732017
2,Acre,2,2.333333333333333,3.0,3.0,3.583333333333333,4.333333333333333,5.0,5.0,5.0,5.0,5.083333333333333,5.0,5.0,5.0,0.02614307319668349,0.02997744411454981,0.03789405076034413,0.03732095272928127,0.04393892203722914,0.05241869960496461,0.05978758666210687,0.05920691157802997,0.05871963020725681,0.05828056028599436,0.05885824272058622,0.05758073394706718,0.05730225564599125,0.05703972931226058
3,Amazonas,12.91666666666667,13.0,14.91666666666667,16.91666666666667,17.58333333333333,17.0,19.33333333333333,21.91666666666667,23.91666666666667,21.16666666666667,23.33333333333333,24.83333333333333,26.25,29.08333333333333,0.03637272250438069,0.03599208727804303,0.04061002335235152,0.04528877595995027,0.04629552836099173,0.04405160775411947,0.04938819101104269,0.05525676283948663,0.05951665508269332,0.05196467384188336,0.05661745639121303,0.05969532627261821,0.06250311027382077,0.06858353116439586
4,Roraima,1.25,2.0,3.0,3.0,3.0,3.75,3.166666666666667,3.0,3.0,3.0,3.416666666666667,4.75,5.0,4.833333333333333,0.02659625397082072,0.04153858934950569,0.06074399241914974,0.05916903014070395,0.05762924799594291,0.07017478199034395,0.057761328972657,0.05319026334499382,0.05106409054003681,0.04853387259858443,0.05330421103267158,0.07252218415443713,0.07424963320681195,0.06951735776508886
5,Pará,20.58333333333333,24.91666666666667,29.83333333333333,32.66666666666666,33.83333333333334,38.25,45.66666666666666,52.0,62.25,71.66666666666667,68.08333333333333,73.83333333333333,83.16666666666667,83.33333333333333,0.02672950849866346,0.03199127064148468,0.03788242412975818,0.04103294836891098,0.04204355712518169,0.0470398180684307,0.0556379294730357,0.06283348570453617,0.0746450582513247,0.08527248923087785,0.080427394125654,0.08665728577096365,0.09704344220674065,0.09671793490960354
6,Amapá,2,1.833333333333333,1.583333333333333,1.0,1.583333333333333,2.5,3.0,3.0,2.75,2.5,3.25,5.583333333333333,8.916666666666666,9.333333333333334,0.02911263240789127,0.02619908446108483,0.02224320107291836,0.01381537955683025,0.02151610151794964,0.03346496218459273,0.03963284135766261,0.03918710274074597,0.03558562289074308,0.03207315758953543,0.04137318228514906,0.07059726976122949,0.1120948922024279,0.11679455670626
7,Tocantins,6.166666666666667,7.0,8.333333333333334,9.416666666666666,9.833333333333334,11.5,12.08333333333333,13.33333333333333,16.33333333333333,20.33333333333333,23.08333333333333,24.83333333333333,27.66666666666667,29.83333333333333,0.0441577611203564,0.04961579653554157,0.05843770307101817,0.06534600652627337,0.06752689058125774,0.07815600754647224,0.08134646007134252,0.08897566982552538,0.1080459861357154,0.1333203946983069,0.1500978182604779,0.1603688008848052,0.1776259753378104,0.1903618214584779
8,Maranhão,7,8.25,12.83333333333333,13.33333333333333,15.66666666666667,18.41666666666667,21.41666666666667,26.33333333333333,31.91666666666667,35.0,38.58333333333334,41.75,48.0,53.66666666666666,0.01057223426198329,0.01237372055729438,0.0191216991353118,0.01974552753928472,0.02306395516995239,0.02695878375239726,0.03120199203229817,0.03821756193724338,0.04614224785177115,0.0503834540736822,0.0553484431953309,0.05974396099456309,0.068590173285928,0.07663126302314997
9,Piauí,5.083333333333333,6.833333333333333,9.583333333333334,10.0,10.0,11.66666666666667,16.5,20.58333333333333,23.66666666666667,24.5,25.25,26.08333333333333,26.25,27.25,0.01597679896399102,0.0213752680641087,0.02983878132397423,0.03100174384809145,0.03086447378695674,0.03583335483334623,0.05044183994712473,0.06264432288233275,0.07166880613194268,0.07379011320909287,0.0756925569185545,0.07791055927534915,0.07819381521178013,0.08095948727836783
10,Ceará,15,17.25,20.25,25.58333333333333,31.75,39.83333333333334,42.75,47.83333333333334,54.75,59.0,59.58333333333334,64.08333333333333,70.16666666666667,73.66666666666667,0.01756908104101725,0.0200772853275548,0.02342143300539086,0.02940225052295781,0.03625636527597146,0.04518188335784498,0.04817901360485185,0.05359967178325025,0.06099172205866167,0.06529704455615773,0.0655559454071358,0.07019354066077223,0.07657646105068362,0.08010143959322097
11,Rio Grande do Norte,6.25,7.25,8.0,9.583333333333334,11.16666666666667,14.5,18.33333333333333,19.0,20.16666666666667,20.41666666666667,19.08333333333333,23.41666666666667,27.33333333333333,29.83333333333333,0.01951412026130812,0.02246482859955498,0.02460232645749564,0.02925760183731634,0.03384976967000011,0.04364824690579083,0.05485272591618762,0.05656079973398563,0.0597440407294382,0.06018294435990993,0.0560019736171523,0.06848216042158106,0.07973655819091363,0.08681874206142033
12,Paraíba,11.91666666666667,13.75,17.16666666666667,20.33333333333333,22.08333333333333,23.08333333333333,26.91666666666667,28.33333333333333,32.66666666666666,35.5,38.66666666666666,40.5,42.5,45.83333333333334,0.03125608455422222,0.03584866700316616,0.04449181022402793,0.05238384269320965,0.05653702407026463,0.05870575885268008,0.068015092190983,0.07116224523079004,0.08149526175737545,0.08791894616140927,0.09512247223305333,0.09907570925364678,0.1035064074119355,0.1111254429258109
13,Pernambuco,27,31.33333333333333,40.0,46.0,47.58333333333334,51.25,61.75,73.33333333333333,79.0,86.25,92.5,99.33333333333333,112.8333333333333,116.1666666666667,0.03023626618396148,0.03488348489279767,0.04425154213858631,0.05056464772654198,0.05197589978565904,0.05562727101725835,0.06666534235649192,0.07881759562697051,0.0845074068602685,0.09178944724660924,0.09799806377014762,0.1048906940413075,0.1188591849778283,0.1220945653764547
14,Alagoas,3,3.5,5.25,6.833333333333333,9.166666666666666,10.5,12.41666666666667,18.33333333333333,19.16666666666667,20.66666666666667,23.41666666666667,24.75,25.0,27.75,0.009579691054963478,0.01113880252780802,0.01665441641814577,0.02160622351986039,0.02889522622492905,0.03300664093615636,0.03894928729600768,0.05741447982742251,0.0598934375958295,0.0644081431838732,0.07283967629529423,0.07691545111766696,0.07767880807151173,0.08621742263034908
15,Sergipe,6.416666666666667,7.0,7.0,7.416666666666667,8.833333333333334,9.333333333333334,11.0,11.0,12.5,14.25,13.91666666666667,16.75,19.08333333333333,18.0,0.03073518073324083,0.03321429961006412,0.03291380767145625,0.03456646276337508,0.04081586760749552,0.0427692738204998,0.05003839309433784,0.04971252601998805,0.05612760813769495,0.06357917280149912,0.06173611721078736,0.07395349186312909,0.08393484193199972,0.07887838443045864
16,Bahia,53.83333333333334,60.66666666666666,78.75,86.5,99.75,102.1666666666667,105.8333333333333,115.9166666666667,134.6666666666667,144.9166666666667,156.3333333333333,169.9166666666667,182.5833333333333,186.0833333333333,0.03794413819335012,0.04261059973318741,0.05509745567995648,0.06027441932739323,0.06922463069960737,0.07060367013311107,0.07285246758076666,0.07951101969001517,0.09203161987769999,0.09862805483243438,0.1059991136304396,0.114899624274284,0.1232726719261056,0.1254877387520838
17,Minas Gerais,92.33333333333333,109.8333333333333,123.1666666666667,132.4166666666667,156.6666666666667,183.1666666666667,201.0,216.75,232.3333333333333,250.1666666666667,276.5833333333333,291.0833333333333,301.6666666666667,320.0833333333333,0.04643060375524354,0.05496747035113871,0.06129491013369921,0.06550506765177054,0.0770204542237042,0.08947965326316824,0.09762889053557364,0.104735428161088,0.1116920701226212,0.1196011114090648,0.1315059028994013,0.1378430170006177,0.1424407190451568,0.1506458758571617
18,Espírito Santo,30.5,31.75,37.66666666666666,42.0,45.83333333333334,46.5,48.16666666666666,55.58333333333334,63.25,66.41666666666667,66.83333333333333,69.83333333333333,71.66666666666667,74.0,0.08377077240497374,0.08636957527659347,0.101411013092431,0.1118877542049816,0.1208073586529742,0.1212822111859757,0.1244336975064176,0.1423552498951437,0.1606504654799614,0.1672960103281042,0.1670220779862319,0.1733895032560397,0.1769148502242992,0.1815475109836244
19,Rio de Janeiro,186.5,209.25,225.9166666666667,248.8333333333333,273.25,259.0833333333333,264.25,277.0,301.0833333333333,312.8333333333333,298.75,341.3333333333333,369.9166666666667,383.8333333333333,0.1125178557994086,0.1257312088474393,0.135124945566229,0.1481097015723437,0.1618215642024761,0.1526546851053493,0.1550423801085291,0.161984533927222,0.1755696157677668,0.1819441706880981,0.1734669081751833,0.1982138876895722,0.2149208835509365,0.222979843764617
20,São Paulo,265.75,297.75,333.5,388.6666666666667,440.0833333333333,490.8333333333333,536.0,573.3333333333334,625.5833333333334,676.0,686.3333333333334,719.5833333333334,746.5,780.3333333333334,0.06256937077321238,0.06955633871878883,0.07726655174068335,0.08930698241203915,0.1003080088375895,0.1110032338087762,0.1203679937013405,0.1279502976771115,0.1388267309322548,0.1492071526995492,0.1507656467520771,0.1576239098257616,0.1632158556693449,0.1701905414334726
21,Paraná,67.58333333333333,75.25,83.41666666666667,89.83333333333333,103.75,125.5833333333333,140.75,151.0833333333333,163.3333333333333,174.5,186.0,199.0833333333333,196.9166666666667,202.3333333333333,0.06336811187842524,0.07009596300349046,0.07711644583320815,0.08236268375703051,0.09428614167294787,0.1131191422749669,0.1257183138043443,0.1338774918012774,0.1436026204840639,0.1521595273619889,0.160885917439402,0.1711764679919064,0.1684964972694298,0.1721420017806346
22,Santa Catarina,41.83333333333334,49.66666666666666,57.75,64.91666666666667,72.41666666666667,81.91666666666667,90.83333333333333,92.75,101.8333333333333,109.5,118.9166666666667,132.5833333333333,142.25,149.6666666666667,0.06571641257716836,0.07694657403125424,0.08811626647640673,0.09747595584747122,0.1069389260348858,0.1188935981881148,0.1295495730117385,0.1299846302809672,0.1401480229196838,0.1478985640062439,0.1576731117070352,0.1728224930723273,0.1824462469748873,0.188801140510266
23,Rio Grande do Sul,84.16666666666667,97.83333333333333,103.3333333333333,116.5833333333333,134.5833333333333,143.9166666666667,151.5,163.4166666666667,172.0,184.75,192.8333333333333,207.0,214.5,225.9166666666667,0.0773629083306218,0.08968640011929667,0.09441428060460225,0.1061292711266207,0.1220451029126627,0.1299976728384172,0.1363663857849159,0.1466794553798554,0.1540179292987859,0.1650386722011273,0.1718613352042304,0.1843639918776528,0.1911678492930711,0.2013106294745019
24,Mato Grosso do Sul,9,11.25,14.75,16.41666666666667,18.58333333333333,22.16666666666667,23.58333333333333,28.66666666666667,31.83333333333333,33.5,37.91666666666666,46.25,51.08333333333334,50.33333333333334,0.03614089165201622,0.04464069596630639,0.05778897425550171,0.06349621369176914,0.07095106756221549,0.08355513137191119,0.08784162632780533,0.1055645919664609,0.1159193992389133,0.1206325611409031,0.1350854179240002,0.1633154339617711,0.1789649136513268,0.1748894229772504
25,Mato Grosso,17,18.91666666666667,21.33333333333333,25.33333333333333,27.75,31.25,33.75,43.08333333333334,50.16666666666666,54.83333333333334,59.16666666666666,63.16666666666666,70.16666666666667,72.41666666666667,0.05494604944368742,0.06037294415497347,0.06715228259527203,0.07858991492848523,0.08475650448904046,0.09391401142956059,0.09984938275330457,0.1254874593124511,0.1437173460820646,0.154373296966926,0.1638064219684807,0.1722726176446979,0.1885710533489458,0.1916601669829832
26,Goiás,20,24.0,25.66666666666667,32.41666666666666,39.33333333333334,43.33333333333334,46.58333333333334,54.25,66.91666666666667,79.5,92.58333333333333,101.25,111.8333333333333,120.4166666666667,0.03233673143875657,0.03831418847834881,0.04041220236478563,0.05032259239641929,0.06018265844857165,0.06535524825517826,0.06931524817909215,0.0797145616242786,0.09714334215099701,0.1139828088116883,0.1311324794496166,0.1419269033694358,0.1552970265086238,0.1655334100491908
27,Distrito Federal,39.08333333333334,42.25,47.41666666666666,51.91666666666666,57.91666666666666,59.58333333333334,63.83333333333334,57.83333333333334,81.08333333333333,90.16666666666667,94.91666666666667,103.9166666666667,111.1666666666667,119.0,0.147820247049552,0.1580608015945996,0.1754258099277073,0.1899186891940107,0.209510056362124,0.2131919480114588,0.2260731390875145,0.2029016218330097,0.281988477249471,0.3109508497637233,0.3248994123970206,0.3536956515573103,0.3765265129986888,0.4010051412902863
