,Grandes Regiões e Unidades da Federação,Número mensal médio de Raio X em uso (total)_2010,Número mensal médio de Raio X em uso (total)_2011.0,Número mensal médio de Raio X em uso (total)_2012.0,Número mensal médio de Raio X em uso (total)_2013.0,Número mensal médio de Raio X em uso (total)_2014.0,Número mensal médio de Raio X em uso (total)_2015.0,Número mensal médio de Raio X em uso (total)_2016.0,Número mensal médio de Raio X em uso (total)_2017.0,Número mensal médio de Raio X em uso (total)_2018.0,Número mensal médio de Raio X em uso (total)_2019.0,Número mensal médio de Raio X em uso (total)_2020.0,Número mensal médio de Raio X em uso (total)_2021.0,Número mensal médio de Raio X em uso (total)_2022.0,Número mensal médio de Raio X em uso (total)_2023.0,Número mensal médio de Raio X em uso por 10.000 mil habitantes_2010,Número mensal médio de Raio X em uso por 10.000 mil habitantes_2011.0,Número mensal médio de Raio X em uso por 10.000 mil habitantes_2012.0,Número mensal médio de Raio X em uso por 10.000 mil habitantes_2013.0,Número mensal médio de Raio X em uso por 10.000 mil habitantes_2014.0,Número mensal médio de Raio X em uso por 10.000 mil habitantes_2015.0,Número mensal médio de Raio X em uso por 10.000 mil habitantes_2016.0,Número mensal médio de Raio X em uso por 10.000 mil habitantes_2017.0,Número mensal médio de Raio X em uso por 10.000 mil habitantes_2018.0,Número mensal médio de Raio X em uso por 10.000 mil habitantes_2019.0,Número mensal médio de Raio X em uso por 10.000 mil habitantes_2020.0,Número mensal médio de Raio X em uso por 10.000 mil habitantes_2021.0,Número mensal médio de Raio X em uso por 10.000 mil habitantes_2022.0,Número mensal médio de Raio X em uso por 10.000 mil habitantes_2023.0
0,Brasil,59247.33333333334,62522.5,64718.83333333334,67050.25,69624.08333333333,69912.08333333333,71729.5,73492.75,76170.0,78775.0,72876.66666666667,75651.33333333333,78782.16666666667,80361.25,3.042235556731152,3.187344159912227,3.274074484783492,3.36552526980043,3.467142632314208,3.454092161707907,3.518360853266088,3.581316329079848,3.688101234461762,3.789079484757725,3.48417303760129,3.600667395062734,3.736178135479885,3.79608351741328
1,Rondônia,322.4166666666667,359.1666666666667,399.25,455.3333333333333,493.4166666666667,527.1666666666666,545.3333333333334,569.9166666666666,576.75,624.8333333333334,635.0833333333334,677.0,709.4166666666666,742.9166666666666,2.030526011725724,2.240104248526625,2.464702436181646,2.783255316608536,2.987013327699325,3.162545858414731,3.245869452559118,3.369162024031352,3.388875439804641,3.648533968639542,3.686444506747824,3.914150028156441,4.089686591554405,4.26901038449346
2,Acre,121.3333333333333,128.1666666666667,132.5,141.0833333333333,144.9166666666667,144.3333333333333,154.9166666666667,158.6666666666667,154.0833333333333,157.6666666666667,166.8333333333333,176.0833333333333,185.1666666666667,199.3333333333333,1.586013107265465,1.646618180292057,1.673653908581866,1.755121471407589,1.776971754017244,1.745945917611514,1.852418726747611,1.878832660742818,1.809543270886964,1.837780334351689,1.931708228305141,2.027801513835882,2.122093534089876,2.273983875248788
3,Amazonas,659.1666666666666,700.75,729.5833333333334,747.8333333333334,764.8333333333334,781.0833333333334,795.5,748.75,756.75,765.1666666666666,776.5833333333334,795.4166666666666,808.1666666666666,801.4166666666666,1.856182161352588,1.940111935391435,1.986261198043786,2.002076233815732,2.013745778659631,2.023998624898832,2.032153755997472,1.887764312215921,1.883173326849958,1.878502500851075,1.884350271820408,1.912053319705171,1.924302106144488,1.889879138131791
4,Roraima,71.83333333333333,77.16666666666667,94.16666666666667,98.58333333333333,112.5,119.5,123.25,124.0,137.0,142.0,139.9166666666667,136.75,148.5,156.0833333333333,1.528398061523164,1.602697239068428,1.906686428712201,1.944360073790355,2.161096799847859,2.236236386092294,2.248131725014729,2.198530884926412,2.331926801328347,2.297269969666329,2.182872446923307,2.087875512235637,2.205214106242315,2.244931225758818
5,Pará,880.8333333333334,980.25,1075.583333333333,1155.583333333333,1239.333333333333,1272.166666666667,1341.75,1397.833333333333,1490.833333333333,1523.416666666667,1299.083333333333,1384.333333333333,1522.666666666667,1526.666666666667,1.14384981712904,1.258572965069513,1.365777788387678,1.451540548550226,1.540078279718478,1.564509504646325,1.634719530009759,1.689052707063926,1.787684192926638,1.812635320499626,1.534617683016916,1.624775204545427,1.776731238478522,1.771872567543937
6,Amapá,77.83333333333333,86.41666666666667,85.58333333333333,89.75,94.16666666666667,102.6666666666667,113.3333333333333,122.25,131.8333333333333,163.1666666666667,182.8333333333333,187.0833333333333,214.5,249.75,1.132966611207102,1.234929572097499,1.202303552730903,1.239930315225515,1.279641827120163,1.374294447047275,1.497240673511699,1.596874436685398,1.705953194338047,2.093308085343679,2.327506716246591,2.365535382297914,2.696563107748124,3.125297200434476
7,Tocantins,278.6666666666667,286.6666666666667,299.3333333333333,316.6666666666667,343.9166666666667,358.6666666666667,363.1666666666667,373.5,387.5833333333333,410.3333333333333,421.8333333333333,440.1666666666667,456.5833333333333,466.8333333333333,1.995453421438808,2.031885000979321,2.099082294310973,2.19747632566229,2.36172438499026,2.4375612788407,2.444881882695936,2.49243095098753,2.563887150598024,2.690449276616652,2.742942801568733,2.842510088166246,2.931363611071876,2.978790289973164
8,Maranhão,697.75,714.5833333333334,768.3333333333334,796.0,845.0833333333334,879.4166666666666,932.25,992.9166666666666,1032.5,1126.25,1175.583333333333,1256.25,1297.5,1332.0,1.053825208042691,1.071764179583831,1.144818610568668,1.178807994095297,1.244104092438762,1.28731242053868,1.358197217374784,1.441019780007136,1.492695694212649,1.621267575728131,1.68639414288668,1.79768505387832,1.854078121635241,1.901978428823027
9,Piauí,466.1666666666667,482.0833333333333,494.0833333333333,512.0833333333334,527.6666666666666,518.5,545.1666666666666,571.0833333333334,579.6666666666666,586.75,427.25,443.0,487.0,524.75,1.465151039419111,1.507999094522791,1.538383777998637,1.587547632887683,1.628615400158417,1.592536669807716,1.666618772394393,1.738062934059216,1.755381040330258,1.767197915323887,1.280778017562472,1.323234930056729,1.450681447929026,1.559027190800863
10,Ceará,1871,1974.583333333333,2074.416666666667,2174.166666666667,2286.916666666667,2316.083333333333,2390.5,2476.166666666667,2566.083333333333,2688.5,2717.75,2783.916666666667,2897.083333333333,2923.416666666667,2.191450041849551,2.298218723847396,2.399299307832077,2.498712430436382,2.611505071570826,2.627071305783652,2.694080281225692,2.774670117364979,2.858627241023393,2.97544244558017,2.99017629029779,3.049357103841896,3.161734760602156,3.178776699513331
11,Rio Grande do Norte,499.4166666666667,533.0,548.0833333333334,556.9166666666666,597.3333333333334,592.8333333333334,607.75,619.1666666666666,644.4166666666666,666.0,622.0833333333334,643.75,679.1666666666666,690.5833333333334,1.559308303013594,1.651552226698318,1.685515636572384,1.700248287641609,1.810710067123588,1.784561083263195,1.81836786412162,1.843187465015409,1.909093665127048,1.963192209487347,1.825566519877913,1.882650139703607,1.981258991633982,2.009684121405001
12,Paraíba,721.8333333333334,753.3333333333334,786.0833333333334,819.75,845.0,872.5,901.5,927.4166666666666,982.8333333333334,1016.5,918.4166666666666,1047.666666666667,1096.583333333333,1144.166666666667,1.893288142717992,1.964072422476497,2.037336144870172,2.111884674479931,2.163341222915032,2.218950524142818,2.277979155795834,2.329307726980772,2.451926319302261,2.517453768255564,2.259363720863105,2.562921433614912,2.67066826496796,2.77409514794797
13,Pernambuco,1524.583333333333,1655.333333333333,1751.083333333333,1819.916666666667,1892.583333333333,1828.0,1929.583333333333,1945.166666666667,2027.5,2108.333333333333,1705.75,1787.583333333333,1922.583333333333,2005.5,1.707322499492516,1.842887084868438,1.937203447829405,2.000509676992664,2.067293625275135,1.984129783796064,2.083179490235588,2.090636724005393,2.16884515707841,2.243742043806004,1.807137267847884,1.887592515000073,2.025258682882922,2.107839175286771
14,Alagoas,493.75,515.3333333333334,541.25,560.3333333333334,586.8333333333334,607.0,643.75,677.0833333333334,717.4166666666666,740.3333333333334,756.0833333333334,784.6666666666666,806.0,826.75,1.576657486129406,1.640056067427733,1.71699102596598,1.771710328628552,1.849819846145004,1.908098195071134,2.019350633299727,2.120421129990036,2.24183740983694,2.307265903409393,2.351866131769411,2.438504672471219,2.504364772225538,2.568657807554635
15,Sergipe,321.8333333333333,349.5833333333333,371.9166666666667,382.0833333333333,388.75,393.25,402.3333333333333,401.0833333333333,409.9166666666667,417.25,421.25,426.6666666666667,429.1666666666667,437.3333333333333,1.541548934958131,1.65873793885975,1.748741948067967,1.780755413146907,1.796283230084591,1.802037528204808,1.830192135298963,1.812624149501534,1.840611362862143,1.861642796591264,1.868718997009162,1.883790439498612,1.887617624234929,1.916452599495587
16,Bahia,3698.583333333333,3834.583333333333,3935.833333333333,4004.916666666667,4098.666666666667,3954.916666666667,3967.333333333333,4048.083333333333,4148.25,4240.583333333333,4232.0,4476.25,4637.416666666667,4666.25,2.606926757640029,2.693305970772828,2.75370670027973,2.790682387721764,2.844397858253541,2.733099168717225,2.730992343767826,2.776712295817302,2.834926983844077,2.886075805783835,2.869434427829554,3.026892259878944,3.130990835242287,3.146746946450038
17,Minas Gerais,6240.416666666667,6606.0,6950.333333333333,7178.25,7432.916666666667,7486.083333333333,7636.583333333333,7836.25,8122.916666666667,8350.0,8279.75,8650.75,8990.666666666666,9187.0,3.138046716797304,3.306055621908549,3.458890855744958,3.551001272785313,3.654169901320903,3.657063553953682,3.709209742864607,3.786542094243717,3.90501597388899,3.992015777211289,3.936737569863155,4.09657765583084,4.245205606724825,4.323822946627684
18,Espírito Santo,1631.666666666667,1715.666666666667,1806.583333333333,1899.25,2001.916666666667,1935.25,1984.833333333333,2112.25,2195.416666666667,2266.583333333333,2037.75,2150.166666666667,2230.0,2319.25,4.481507441774278,4.667130750116814,4.863914497413301,5.059590885090744,5.276645776218909,5.047556971992677,5.127615583404592,5.409712922177223,5.576200939485615,5.709264974798127,5.092507322939311,5.33865866707916,5.504931851165404,5.689919795253661
19,Rio de Janeiro,4964.166666666667,5310.166666666667,5551.75,5710.75,5834.416666666667,5599.333333333333,5726.833333333333,5951.416666666667,6178.833333333333,6402.25,5594.0,5819.166666666667,6052.5,6048.25,2.994945786403382,3.190698562396068,3.320604573429637,3.399132531497368,3.455203773866411,3.299187391958389,3.360082764370336,3.480279620782316,3.603040335100147,3.723554821911165,3.248113420358076,3.379217719082723,3.51649105030514,3.513602709637894
20,São Paulo,17692.5,18724.41666666667,19359.0,20152.5,20995.16666666667,21662.83333333333,22336.66666666667,23220.41666666667,24029.25,24939.66666666667,20521.91666666667,20824.08333333333,21701.41666666667,22153.58333333333,4.16560147659477,4.374145652320408,4.485166941972681,4.630597675107938,4.785419496792271,4.899106051192972,5.016081628063947,5.182080043057954,5.332466589988893,5.504699190250281,4.508013655428212,4.561491743190474,4.744829592079011,4.831692023312542
21,Paraná,5272.833333333333,5504.166666666667,5693.916666666667,5884.5,6095.333333333333,6210.0,6332.583333333333,6485.5,6637.75,6745.166666666667,6779.0,6985.666666666667,7095.083333333333,7145.083333333333,4.943962898884683,5.127174259557635,5.263871522922691,5.395137802243926,5.539329756245863,5.593655263656625,5.656282051098829,5.746911018712751,5.835907923172011,5.881612446864426,5.863686206030679,6.006438241450621,6.071079252651933,6.078923959914905
22,Santa Catarina,2664,2776.583333333333,2840.5,2923.166666666667,2999.916666666667,3108.0,3177.333333333333,3238.166666666667,3393.75,3548.75,3647.25,3852.5,4057.0,4213.666666666667,4.184904934794656,4.301649161321075,4.334099652402309,4.389295993860841,4.430028076328944,4.510941646006032,4.531620293386758,4.538133659890228,4.670645035518922,4.79319661202884,4.83593488443014,5.021737180850842,5.203405440963921,5.315445918018424
23,Rio Grande do Sul,2445.25,2569.416666666667,2695.083333333333,2847.75,2969.75,2999.666666666667,3070.333333333333,3178.0,3310.083333333333,3454.75,3573.75,3736.25,3858.916666666667,3974.083333333333,2.247583979351917,2.355452108073487,2.462461491156001,2.592391409728384,2.693078224457313,2.709551958014861,2.763632078030496,2.852507756433536,2.964024307014087,3.086156172053285,3.185079239513146,3.327680988661259,3.439164567682301,3.541240357436194
24,Mato Grosso do Sul,905.6666666666666,944.25,962.3333333333334,990.9166666666666,1016.083333333333,1009.5,1034.083333333333,1061.0,1079.916666666667,1040.333333333333,1026.083333333333,1083.0,1134.666666666667,1155.666666666667,3.636844541426965,3.746842414771983,3.770322455946518,3.832657243699628,3.879400747919702,3.805213764809519,3.851684597532637,3.907117398014477,3.932459410306485,3.746211177320982,3.655619232743327,3.824229513094014,3.975181507791951,4.015507479881636
25,Mato Grosso,834.9166666666666,889.5833333333334,907.3333333333334,938.1666666666666,996.4166666666666,1012.583333333333,1043.75,1097.833333333333,1161.75,1214.166666666667,1234.583333333333,1329.916666666667,1410.583333333333,1427.666666666667,2.698551320472079,2.839124135922211,2.856070519130164,2.91041204692397,3.043343916442812,3.043064407681575,3.087934614778122,3.197624350062341,3.328178607525021,3.418265861410505,3.418017100652171,3.627043146427089,3.790905249450837,3.778506306964865
26,Goiás,1928.666666666667,2046.083333333333,2175.75,2265.166666666667,2355.5,2414.416666666667,2479.916666666667,2583.416666666667,2673.5,2756.75,2817.833333333333,2902.166666666667,2992.25,3038.333333333333,3.118338801744093,3.266417603155897,3.425721401110999,3.516371996194008,3.604074202769759,3.641418476340922,3.690075975959934,3.796053955321445,3.881136616299235,3.952479348322288,3.991101404238825,4.068103980859235,4.155179084087299,4.176711508922835
27,Distrito Federal,1960.25,2005.166666666667,1689.166666666667,1628.833333333333,1664.75,1206.333333333333,1149.166666666667,575.4166666666666,643.4166666666666,679.5,766.4166666666666,871.0833333333334,961.5833333333334,1004.916666666667,7.414020621208127,7.501497057138574,6.249351787758571,5.958508345082075,6.022132943807414,4.316316978201227,4.069906772867918,2.018783427603648,2.237649571267385,2.34333939831183,2.623441523981913,2.964860181017293,3.256926112062871,3.386359242870841
