,Grandes Regiões e Unidades da Federação,Número mensal médio de Clínicas Básicas_2010,Número mensal médio de Clínicas Básicas_2011.0,Número mensal médio de Clínicas Básicas_2012.0,Número mensal médio de Clínicas Básicas_2013.0,Número mensal médio de Clínicas Básicas_2014.0,Número mensal médio de Clínicas Básicas_2015.0,Número mensal médio de Clínicas Básicas_2016.0,Número mensal médio de Clínicas Básicas_2017.0,Número mensal médio de Clínicas Básicas_2018.0,Número mensal médio de Clínicas Básicas_2019.0,Número mensal médio de Clínicas Básicas_2020.0,Número mensal médio de Clínicas Básicas_2021.0,Número mensal médio de Clínicas Básicas_2022.0,Número mensal médio de Clínicas Básicas_2023.0,Número mensal médio de Clínicas Básicas por 10.000 mil habitantes_2010,Número mensal médio de Clínicas Básicas por 10.000 mil habitantes_2011.0,Número mensal médio de Clínicas Básicas por 10.000 mil habitantes_2012.0,Número mensal médio de Clínicas Básicas por 10.000 mil habitantes_2013.0,Número mensal médio de Clínicas Básicas por 10.000 mil habitantes_2014.0,Número mensal médio de Clínicas Básicas por 10.000 mil habitantes_2015.0,Número mensal médio de Clínicas Básicas por 10.000 mil habitantes_2016.0,Número mensal médio de Clínicas Básicas por 10.000 mil habitantes_2017.0,Número mensal médio de Clínicas Básicas por 10.000 mil habitantes_2018.0,Número mensal médio de Clínicas Básicas por 10.000 mil habitantes_2019.0,Número mensal médio de Clínicas Básicas por 10.000 mil habitantes_2020.0,Número mensal médio de Clínicas Básicas por 10.000 mil habitantes_2021.0,Número mensal médio de Clínicas Básicas por 10.000 mil habitantes_2022.0,Número mensal médio de Clínicas Básicas por 10.000 mil habitantes_2023.0
0,Brasil,107977.1666666667,112528.3333333333,117026.3333333333,121538.25,127463.1666666667,130439.5833333333,136499.4166666667,142234.25,150369.6666666667,158559.75,159107.5833333333,172818.0,188763.6666666667,200870.0833333333,5.544417904857926,5.736599241467572,5.920269452958326,6.100500022331343,6.347415406303681,6.444527482036777,6.695351342106896,6.931103300385757,7.280800226584441,7.626727969956378,7.606801700515489,8.225369077609802,8.951958469954238,9.488647980004027
1,Rondônia,486.8333333333333,560.4166666666666,615.8333333333334,695.8333333333334,816.3333333333334,918.5833333333334,1005.25,1061.833333333333,1125.25,1242.25,1363.666666666667,1540.416666666667,1891.083333333333,2074.833333333333,3.065994562031966,3.495290271772981,3.801743060609971,4.253327579370659,4.94186498195281,5.510708662236103,5.983331785791663,6.27721340988558,6.611759148054047,7.253760452188536,7.91562497158134,8.90608853649333,10.90182753696043,11.92258222693418
2,Acre,247.5,259.4166666666667,276.0833333333333,295.6666666666667,335.25,362.5,401.25,426.6666666666667,432.1666666666667,470.5833333333333,527.75,627.9166666666666,804.0833333333334,952.1666666666666,3.235205308089582,3.332849411735484,3.48730528247278,3.678187230096943,4.110843798971461,4.385025832338386,4.797953829634076,5.052323121325225,5.075333370913897,5.485172065583503,6.110643461466762,7.23118050485252,9.215157745469494,10.86226578536482
3,Amazonas,1192.416666666667,1220.083333333333,1268.833333333333,1313.083333333333,1387.583333333333,1445.083333333333,1519.5,1500.833333333333,1526.75,1565.666666666667,1643.25,1810.583333333333,1947.083333333333,1981.833333333333,3.357788943968924,3.377949678447615,3.454347572977119,3.515346023649932,3.653397358952006,3.744602598353852,3.881656357307554,3.783932694825681,3.799319295365938,3.84374918165868,3.987284366351178,4.352350180956966,4.636143401739118,4.67350583997611
4,Roraima,172.9166666666667,190.5833333333333,215.1666666666667,219.75,237.5833333333333,263.4166666666667,263.3333333333333,317.1666666666667,399.5833333333333,358.25,336.6666666666667,421.9166666666667,474.1666666666667,549.75,3.679148465963532,3.958281410096646,4.35669412295124,4.334131457806565,4.563916278789812,4.929388574921716,4.803310514568318,5.623392841417958,6.801453170541012,5.795753286147624,5.252414940780321,6.441751199542373,7.041340215779335,7.907000158211917
5,Pará,2337,2513.416666666667,2635.166666666667,2788.5,2995.333333333333,3152.166666666667,3333.0,3481.0,3670.5,3797.333333333333,3711.333333333333,4059.916666666667,4427.416666666667,4623.5,3.034827272617482,3.227052554574647,3.346139709025735,3.502664587552295,3.722201027851061,3.876531935199258,4.060756618984556,4.206218533413277,4.401360422674495,4.518252080549583,4.384228182105419,4.765074836879885,5.166153347697319,5.366104464654624
6,Amapá,133.1666666666667,154.0,181.4166666666667,211.1666666666667,229.9166666666667,239.0833333333333,263.5833333333333,278.75,340.5833333333333,387.25,430.0833333333333,467.1666666666667,543.25,591.3333333333334,1.938416107825427,2.200723094731126,2.54860256503912,2.917347649750655,3.124364425685423,3.200365883586552,3.482185478174634,3.641134962994312,4.407225477408089,4.968132110619037,5.475051122401393,5.906989466887352,6.829407497828293,7.399769414175188
7,Tocantins,481.5833333333333,491.5,524.8333333333334,570.9166666666666,584.5,598.0833333333334,620.75,693.1666666666666,757.9166666666666,819.0,904.6666666666666,1029.416666666667,1136.916666666667,1215.833333333333,3.448482452899183,3.483737713888383,3.680406539412725,3.961818501871671,4.013844157092727,4.064678740297328,4.178964007389176,4.6256226350545,5.01366450971598,5.369970652028525,5.88253398929873,6.647771131979864,7.299250546788395,7.758041829830143
8,Maranhão,2705.833333333333,2744.166666666667,2797.583333333333,2845.583333333333,2982.0,3024.25,3101.25,3216.666666666667,3305.25,3389.833333333333,3542.166666666667,3745.25,4123.75,4497.25,4.086671981983302,4.115824423754583,4.168406244620471,4.21406580552472,4.390003041497748,4.426973851394791,4.518218418217806,4.668347755625298,4.778433359124802,4.879757487641059,5.081297897323402,5.35942682430868,5.892681814330116,6.421676042811078
9,Piauí,1666.666666666667,1695.166666666667,1734.916666666667,1819.416666666667,1952.083333333333,1986.5,2056.166666666667,2087.25,2137.666666666667,2185.166666666667,2084.833333333333,2236.833333333333,2433.666666666667,2574.416666666667,5.238294742292138,5.302630523903649,5.401857290294084,5.64050894529484,6.02500248716218,6.101396517980768,6.285868479067451,6.352438685157039,6.473409207382371,6.58137533526814,6.249757059367646,6.681390517792084,7.249435490301037,7.648567096301582
10,Ceará,3511.166666666667,3623.833333333333,3750.25,3904.166666666667,4119.416666666667,4185.166666666667,4447.333333333333,4658.0,4859.166666666667,4846.416666666667,5021.666666666667,5428.833333333333,5856.75,6212.833333333333,4.112531447679003,4.21778178625144,4.337591561899609,4.486955820848774,4.704096862695794,4.747122481166717,5.01212007419831,5.219524832746613,5.413131374795376,5.363672627475234,5.525036741586018,5.946460858110101,6.391769903922916,6.755523447322394
11,Rio Grande do Norte,1911.833333333333,2059.916666666667,2155.333333333333,2246.833333333333,2397.0,2480.0,2648.083333333333,2778.583333333333,2900.083333333333,2945.916666666667,2363.25,2486.25,2886.916666666667,3060.25,5.969239293799078,6.382851702901144,6.628276786423617,6.85950835424107,7.266080408864799,7.465355332852501,7.922977597448611,8.27152081372931,8.59153868357512,8.68378475945786,6.935196374711015,7.271050733729077,8.421687760389698,8.90571135397078
12,Paraíba,1942.666666666667,1977.75,2018.25,2077.166666666667,2226.583333333333,2256.0,2317.5,2398.583333333333,2552.666666666667,2632.833333333333,2717.916666666667,3105.416666666667,3397.0,3708.75,5.095397504391808,5.156341902946317,5.230811416581225,5.351310094143211,5.700425457107174,5.737481240648935,5.856036265731385,6.024302660228911,6.368272597326339,6.520448791135128,6.686248775605677,7.596823673533224,8.273206258314,8.99206879529675
13,Pernambuco,3318.833333333333,3362.083333333333,3432.916666666667,3554.75,3786.25,3922.416666666667,4066.833333333333,4259.166666666667,4485.0,4671.833333333333,4668.666666666667,5050.75,5474.5,5783.5,3.716634373587808,3.743016484042346,3.797796413331382,3.907493076215764,4.135770589774813,4.257430926034688,4.390556056250363,4.577690127834617,4.797667338839294,4.971884049796529,4.946165337530405,5.333322210695978,5.766865064943464,6.078627708935946
14,Alagoas,1295.416666666667,1329.333333333333,1368.166666666667,1420.833333333333,1474.25,1504.5,1590.416666666667,1671.25,1711.083333333333,1764.916666666667,1910.583333333333,2043.083333333333,2158.666666666667,2239.25,4.13656381803909,4.230623283895084,4.340193789732019,4.49251354894658,4.647140428592908,4.72938012270926,4.988907033854407,5.233851786086175,5.346921539805074,5.500403485851817,5.94304362427833,6.349279848659397,6.707306147614799,6.957202292793125
15,Sergipe,1155.083333333333,1188.5,1291.25,1376.75,1444.083333333333,1434.75,1460.166666666667,1485.666666666667,1520.75,1553.333333333333,1633.666666666667,1721.416666666667,1833.5,1919.25,5.532731690174689,5.639313583794459,6.071422022252555,6.416545295659773,6.672624243115941,6.574630244353081,6.642217604537785,6.714203893063234,6.828484806031967,6.930501643391484,7.247154741319015,7.600284982172425,8.064342323964446,8.410407739897652
16,Bahia,6518.583333333333,6677.166666666667,6843.583333333333,7105.833333333333,7463.416666666667,7498.083333333333,7721.25,7934.833333333333,8273.75,8551.416666666666,8930.833333333334,9580.916666666666,10149.25,10644.16666666667,4.594588733588896,4.689858398655734,4.78811465905298,4.951444832415048,5.179471303331275,5.181652877297663,5.315075105272389,5.442760800031534,5.654306546755845,5.819962681276549,6.055397125679217,6.478727171377495,6.852351431561995,7.178033529244813
17,Minas Gerais,12683.16666666667,13467.25,14290.25,14876.58333333333,15576.66666666667,16244.83333333333,16976.25,17815.41666666667,18837.33333333333,19940.5,20212.25,21556.66666666667,23079.16666666667,24354.33333333333,6.377838475036602,6.739854310346337,7.111661078793736,7.359282046649733,7.657799629518505,7.935843788815057,8.245634094301154,8.608559596085426,9.055871257919039,9.533268335985833,9.610232669641782,10.20819686164323,10.89750197225308,11.46226464748951
18,Espírito Santo,2342.333333333333,2395.666666666667,2486.916666666667,2545.083333333333,2615.166666666667,2578.333333333333,2656.25,2738.916666666667,2878.583333333333,3087.25,3249.333333333333,3475.166666666667,3737.0,3936.25,6.433412215188529,6.516935826906847,6.695594831233227,6.780087105504648,6.893048234995703,6.724859523466109,6.862152436015676,7.01467765862622,7.311395295223065,7.776430733532343,8.120355193066276,8.628507237211654,9.225080864486598,9.656978244720158
19,Rio de Janeiro,9659.833333333334,10074.41666666667,10357.58333333333,10598.16666666667,11006.41666666667,11399.41666666667,12610.66666666667,14121.83333333333,15756.16666666667,17479.08333333333,15169.58333333333,16796.91666666667,19139.0,20475.0,5.827902059229602,6.053374365270202,6.195062563398072,6.308203491817657,6.51811733308034,6.716658841947909,7.399007662271677,8.258189858115193,9.187835464067183,10.16585185339848,8.808102825570291,9.75404927841144,11.11972279418258,11.89451750172957
20,São Paulo,24616.41666666667,25670.41666666667,26992.66666666667,27948.08333333333,28985.66666666667,29674.91666666667,31002.0,32597.0,34216.66666666666,36262.58333333334,36102.91666666666,39497.0,43290.75,46400.5,5.795799441296526,5.996776479325303,6.253763944884614,6.421849880017677,6.606690796811417,6.71105951715983,6.962030859568952,7.274643930315352,7.593213763258802,8.003900604581057,7.93066476088345,8.6517728774357,9.465153119648614,10.11993962125226
21,Paraná,6570.666666666667,6760.25,7030.833333333333,7356.833333333333,7803.916666666667,8075.833333333333,8474.0,8942.5,9399.916666666666,9871.833333333334,10374.33333333333,11167.83333333333,11945.41666666667,12605.25,6.160849427114764,6.297225699592643,6.499814720227543,6.745030099664348,7.092059686141807,7.274303966733274,7.56900171352052,7.924100190399933,8.264404075500982,8.607985640093567,8.973570624491952,9.602362152142048,10.22138400384528,10.72434745277765
22,Santa Catarina,5028.916666666667,5221.416666666667,5452.666666666667,5696.416666666667,5858.333333333333,5933.166666666667,6028.416666666667,6292.25,6666.5,7071.166666666667,7255.5,7940.75,8833.666666666666,9540.916666666666,7.899976792419081,8.089331357510567,8.319803099688666,8.55348384321642,8.65110069073932,8.61137986144191,8.59793179930475,8.818283448899363,9.174763942331314,9.55082553286592,9.620159175812702,10.35077469664927,11.32983712028468,12.03565221501162
23,Rio Grande do Sul,9093.083333333334,9586.333333333334,10145.75,10676.0,11174.91666666667,11368.25,11783.33333333333,12282.58333333333,12774.91666666667,13323.33333333333,13887.83333333333,14878.58333333333,15862.25,16790.33333333333,8.35802818644798,8.788044909815513,9.270035684943323,9.718679901768143,10.13382430680195,10.2687623224922,10.6062744499379,11.02459541452946,11.43933844165435,11.90184163803168,12.37743256574149,13.25157012955385,14.13684017458749,14.96159013981576
24,Mato Grosso do Sul,1662.583333333333,1765.666666666667,1853.583333333333,1927.0,2038.25,2104.0,2174.0,2275.333333333333,2409.333333333333,2368.5,2582.166666666667,2784.083333333333,3006.583333333333,3124.25,6.676360456938664,7.006274563956295,7.262147764774713,7.453230687352637,7.782027630063806,7.930826905556441,8.097570133002776,8.37888261352398,8.773459871192307,8.528902121260572,9.199465406138613,9.831000600412274,10.53323836806888,10.85559496165578
25,Mato Grosso,1552.083333333333,1584.833333333333,1635.333333333333,1665.583333333333,1763.583333333333,1814.0,1940.666666666667,2072.416666666667,2227.916666666667,2333.25,2518.25,2833.25,3150.583333333333,3444.0,5.016520445532735,5.058029303697293,5.147642162693822,5.167028387090904,5.386492205710399,5.451520535463133,5.741462779157918,6.036262331994864,6.382530311468433,6.568841856803893,6.971924317557067,7.72704053733784,8.467109042712105,9.114995835526729
26,Goiás,2426.916666666667,2526.25,2680.666666666667,2874.916666666667,3029.333333333333,3134.583333333333,3340.5,3446.0,3637.75,3839.833333333333,4081.5,4425.333333333333,4929.75,5198.5,3.923927623712116,4.032967443476196,4.220713395033844,4.462928316411489,4.635084745598467,4.727572429074097,4.970610086774754,5.063527730087817,5.280944352325619,5.505345769837501,5.780924013036292,6.2031985815066,6.845682710261296,7.14623196241427
27,Distrito Federal,3263.666666666667,3428.5,2990.5,2927.333333333333,3179.333333333333,2841.666666666667,2697.666666666667,1400.583333333333,1566.416666666667,1800.416666666667,1882.916666666667,2106.333333333333,2251.5,2371.833333333333,12.34377858304617,12.82630670454639,11.06384993860405,10.70860949278845,11.50104700766584,10.16761598208496,9.554098770941279,4.913786106840627,5.447623234181201,6.208958511224808,6.44521705277496,7.169215147363735,7.625932030133862,7.992582865128942
